"","cas","short_display_name","lib","mzMed","rtMin","rtMed","rtMax","tmz","trt","id","subid","id_subid","name_sub_lib_id","validate_for","check1","file1","check2","file2","check3","file3","check4","file4","check5","file5"
"35","92-67-1","4-ABP","BP2.GC2",154.0653114,6.325175,6.5334,6.736583333,154.0653,6.6385,"CP2518",2,"CP2518_2","4-Aminobiphenyl_2_BP2.GC2_CP2518","iarc","F2","BL_12082022_003, BL_12082022_004","F18","BL_12082022_107, BL_12082022_108","F6","BL_12082022_021, BL_12082022_022","F8","BL_12082022_037, BL_12082022_038","F20","BL_12082022_119, BL_12082022_120"
"36","92-67-1","4-ABP","BP3.GC2",169.0886536,4.972516667,5.2513875,5.644625,169.0888,5.366,"CP3002",0,"CP3002_0","4-aminobiphenyl_0_BP3.GC2_CP3002","iarc","F9","BL_12082022_049, BL_12082022_050","F11","BL_12082022_077, BL_12082022_078","F4","BL_12082022_009, BL_12082022_010","F18","BL_12082022_107, BL_12082022_108","F15","BL_12082022_093, BL_12082022_094"
"37","92-67-1","4-ABP","BP3.GC2",168.0809441,4.968025,5.230341667,5.6479,168.081,5.366,"CP3002",1,"CP3002_1","4-aminobiphenyl_1_BP3.GC2_CP3002","iarc","F9","BL_12082022_049, BL_12082022_050","F2","BL_12082022_003, BL_12082022_004","F18","BL_12082022_107, BL_12082022_108","F4","BL_12082022_009, BL_12082022_010","F10","BL_12082022_057, BL_12082022_058"
"38","92-67-1","4-ABP","BP3.GC2",167.0731449,4.973641667,5.223070833,5.64575,167.0731,5.366,"CP3002",2,"CP3002_2","4-aminobiphenyl_2_BP3.GC2_CP3002","iarc","F9","BL_12082022_049, BL_12082022_050","F4","BL_12082022_009, BL_12082022_010","F10","BL_12082022_057, BL_12082022_058","F18","BL_12082022_107, BL_12082022_108","F8","BL_12082022_037, BL_12082022_038"
"39","92-67-1","4-ABP","BP3.GC2",170.0920715,5.048733333,5.212975,5.645741667,170.0924,5.366,"CP3002",3,"CP3002_3","4-aminobiphenyl_3_BP3.GC2_CP3002","iarc","F9","BL_12082022_049, BL_12082022_050","F11","BL_12082022_077, BL_12082022_078","F4","BL_12082022_009, BL_12082022_010","F10","BL_12082022_057, BL_12082022_058","F2","BL_12082022_003, BL_12082022_004"
"40","92-87-5","Benzidine","BP2.GC2",185.0809212,9.779633333,9.783466667,9.900583333,185.0805,9.6825,"CP2215",0,"CP2215_0","Benzidine_0_BP2.GC2_CP2215","iarc","F20","BL_12082022_119, BL_12082022_120","F10","BL_12082022_057, BL_12082022_058","F16","BL_12082022_097, BL_12082022_098",NA,NA,NA,NA
"41","92-87-5","Benzidine","BP2.GC2",183.1335144,9.869233333,9.925675,10.0478,183.1334,9.6825,"CP2215",1,"CP2215_1","Benzidine_1_BP2.GC2_CP2215","iarc","F1","BL_12082022_001, BL_12082022_002","F2","BL_12082022_003, BL_12082022_004","F3","BL_12082022_007, BL_12082022_008","F18","BL_12082022_107, BL_12082022_108","F5","BL_12082022_017, BL_12082022_018"
"42","92-87-5","Benzidine","BP2.GC2",91.05412102,9.78555,9.818541667,9.881233333,91.0542,9.6825,"CP2215",2,"CP2215_2","Benzidine_2_BP2.GC2_CP2215","iarc","F15","BL_12082022_093, BL_12082022_094","F20","BL_12082022_119, BL_12082022_120",NA,NA,NA,NA,NA,NA
"43","92-87-5","Benzidine","BP2.GC2",91.05429077,9.81615,9.81615,9.81615,91.0542,9.6825,"CP2215",3,"CP2215_3","Benzidine_3_BP2.GC2_CP2215","iarc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","92-87-5","Benzidine","BP3.GC2",184.0994873,5.315683333,5.640758333,5.818708333,184.0996,5.6984,"CP3094",0,"CP3094_0","Benzidine_0_BP3.GC2_CP3094","iarc","F10","BL_12082022_057, BL_12082022_058","F9","BL_12082022_049, BL_12082022_050","F2","BL_12082022_003, BL_12082022_004","F3","BL_12082022_007, BL_12082022_008","F14","BL_12082022_087, BL_12082022_088"
"45","92-87-5","Benzidine","BP3.GC2",182.0838699,5.21725,5.6657,5.913833333,182.0838,5.6984,"CP3094",1,"CP3094_1","Benzidine_1_BP3.GC2_CP3094","iarc","F3","BL_12082022_007, BL_12082022_008","F7","BL_12082022_025, BL_12082022_026","F12","BL_12082022_083, BL_12082022_084","F1","BL_12082022_001, BL_12082022_002","F20","BL_12082022_119, BL_12082022_120"
"46","92-87-5","Benzidine","BP3.GC2",181.0760822,5.356683333,5.5765125,5.7836,181.0761,5.6984,"CP3094",3,"CP3094_3","Benzidine_3_BP3.GC2_CP3094","iarc","F8","BL_12082022_037, BL_12082022_038","F20","BL_12082022_119, BL_12082022_120","F7","BL_12082022_025, BL_12082022_026","F5","BL_12082022_017, BL_12082022_018","F12","BL_12082022_083, BL_12082022_084"
