ID,Chemical Name,Fomula,Monoisotopic_mass,cas,emz1,emz2,emz3,emz4,emz5,emz6,emz7,emz8
CP3054,"2,4-Dinitrotoluene",C6H3CH3(NO2)2,182.0328,121-14-2,165.0295,167.0554,119.0366,90.0339,148.0267,,,
CP3055,"2,6-Dinitrotoluene", C6H3CH3(NO2)2,182.0328,606-20-2,165.0295,167.0554,119.0366,90.0339,,,,
CP3056,Di-n-octyl phthalate,C24H38O4,390.277,117-84-0,149.0962,167.0985,112.1202,57.0699,71.0856,,,
CP3057,Fluoranthene,C16H10,202.0783,206-44-0,202.0776,200.0621,203.0809,201.0697,,,,
CP3058,Fluorene,C13H10,166.0783,86-73-7,165.0699,166.0775,163.0543,164.062,,,,
CP3058_2,Fluorene,C13H10,166.0783,86-73-7,165.0699,166.0775,163.0543,164.062,,,,
CP3059,Hexachlorobenzene,C6Cl6,281.8131,118-74-1,281.8125,283.8103,285.8073,287.8043,,,,
CP3060,Hexachlorobutadiene, CCl2=CClCCl=CCl2,257.8131,87-68-3,257.8127,224.8407,226.8377,222.8436,187.8747,259.8096,261.8066,142.9033
CP3061,Hexachlorocyclopentadiene,C5Cl6,269.8131,77-47-4,269.8129,236.8407,234.8437,238.8377,,,,
CP3061_2,Hexachlorocyclopentadiene,C5Cl6,269.8131,77-47-4,269.8123,236.8407,234.8437,238.8377,,,,
CP3062,Hexachloroethane,Cl3CCCl3,233.8131,67-72-1,116.9335,118.99314,198.8575,130.9316,233.8122,,,
CP3063,"Indeno(1,2,3-cd)pyrene",C22H12,276.0939,193-39-5,124.0884,137.0962,136.0884,276.0966,138.0464,,,
CP3064,Isophorone,C9H14O,138.1045,78-59-1,138.104,82.0733,95.0856,123.1169,110.109,,,
CP3065,2-Methylnaphthalene,C11H10,142.0783,91-57-6,142.0774,141.0698,143.0856,115.0543,139.0544,,,
CP3067,4-Methylphenol,CH3C6H4OH,108.0575,106-44-5,108.057,109.0648,107.0492,77.0386,79.0543,,,
CP3068_2,Naphthalene,C10H8,128.0626,91-20-3,128.0621,127.0544,102.0465,126.0465,,,,
CP3068_3,Naphthalene,C10H8,128.0626,91-20-3,128.0621,127.0544,102.0465,126.0465,,,,
CP3069,2-Nitroaniline,C6H6N2O2,138.0429,88-74-4,92.0576,65.0386,80.0575,108.0444,121.0648,138.0424,,
CP3070,3-Nitroaniline,C6H6N2O2,138.0429,99-09-2,65.0386,92.0576,80.0575,108.0444,121.0648,138.0426,,
CP3071,4-Nitroaniline,C6H6N2O2,138.0429,100-01-6,138.0424,108.0444,92.0495,139.0458,65.0341,64.0263,,
CP3072,Nitrobenzene,C6H5NO2,123.032,98-95-3,123.0328,121.0285,122.0363,120.0208,77.0387,,,
CP3073,2-Nitrophenol,C6H5NO3 ,139.0269,88-75-5,139.0264,109.0283,137.0962,138.0995,,,,
CP3074,4-Nitrophenol,C6H5NO3,139.0269,100-02-7,139.0265,109.0285,137.0962,138.0995,,,,
CP3075,N-Nitrosodi-n-propylamine,C6H14N2O,130.1106,621-64-7,70.0734,71.0856,58.0734,113.0916,,,,
CP3076,Phenanthrene,C14H10,178.0783,85-01-8,178.0774,89.0386,152.0621,163.054,,,,
CP3077,Phenol,C6H5OH,94.0419,108-95-2,94.0414,95.0445,105.0335,122.0363,77.0386,78.0419,,
CP3079,"1,2,4-Trichlorobenzene",C6H3Cl3,179.93,120-82-1,179.9295,181.9263,183.9234,172.9666,,,,
CP3079_2,"1,2,4-Trichlorobenzene",C6H3Cl3,179.93,120-82-1,179.9295,181.9263,183.9234,172.9666,,,,
CP3080,"2,4,5-Trichlorophenol",C6H2Cl3(OH),195.9249,95-95-4,195.9244,197.9214,96.9839,199.9184,,,,
CP3081,"2,4,6-Trichlorophenol",C6H2Cl3OH,195.9249,88-06-2,195.9244,197.9214,96.9839,199.9184,,,,
CP3082,Benzoic acid,C6H5COOH,122.036779,65-85-0,122.0363,105.0337,106.037,123.0398,77.0341,,,
CP3082_2,Benzoic acid,C6H5COOH,122.036779,65-85-0,122.0363,105.0337,106.037,123.0398,,,,
CP3083,Benzyl salicylate,C14H12O3,228.0786,118-58-1,228.0781,91.0542,92.0576,65.0397,210.0677,,,
CP3084,"1,8-Cineole",C10H18O,154.13576,470-82-6,154.1354,81.07,108.0934,93.07,111.0806,139.1119,,
CP3085,trans Cinnamaldehyde,C9H8O,132.0575,14371-10-9,132.0565,131.0495,103.0546,104.0623,,,,
CP3086,Cinnamyl acetate,C11H12O2,176.0837,103-54-8,176.0833,115.0545,133.0652,116.0622,,,,
CP3087,Cinnamyl alcohol,C9H10O,134.07316,104-54-1,134.0726,105.0702,117.0702,135.0763,,,,
CP3088,Ethyl butyrate ,C6H12O2,116.0837,105-54-4,73.0284,88.0519,115.0754,116.0833,71.0856,,,
CP3089,Geraniol,C10H18O,154.13576,106-24-1,154.1352,69.07,93.0699,68.0622,123.1169,111.0441,,
CP3090,Hydroxycitronellal,C10H20O2,172.1463,107-75-5,96.0936,59.0493,71.0856,69.0336,121.1013,157.1225,139.1122,
CP3091,d-Limonene ,C10H16,136.1252,5989-27-5,136.1248,93.0701,141.1277,154.1355,121.1013,,,
CP3092,Thymol ,C10H14O,150.10446,89-83-8,150.1038,135.0804,136.0837,151.1071,,,,
CP3093,Vanillin,C8H8O3,152.0473,121-33-5,152.0468,151.0391,123.0441,109.0286,,,,
CP3096,"p,p'-DDT",C14H9Cl5,351.9147,50-29-3,235.0075,165.0698,237.0048,199.0311,,,,
CP3096_2,"o,p'-DDT",C14H9Cl5,351.9147,789-02-6,235.0076,165.0697,237.0046,199.0308,,,,
CP3097,DFTPP,C18H5F10P,441.9969,5074-71-5,254.9982,275.0045,437.985,441.9929,197.9652,295.9868,,
CP3098,n-Dodecane,C12H26,170.2035,112-40-3,57.0699,71.0855,85.1011,97.1012,111.1168,170.2026,,
CP3099,n-Tridecane,C13H28,184.2191,629-50-5,57.0656,71.0812,85.1012,97.1012,111.1169,126.1409,,
CP3100,n-Tetradecane,C14H30,198.2348,629-59-4,198.2341,57.0699,71.0855,85.1012,111.1169,97.1012,,
CP3101,n-Pentadecane,C15H32,212.2504,629-62-9,57.0699,85.1012,97.1012,111.1169,,,,
CP3102,n-Hexadecane,C16H34,226.2661,544-76-3,57.0699,71.0855,85.1012,97.1012,111.1169,125.1326,226.2658,
CP3103,n-Heptadecane,C17H36,240.2817,629-78-7,57.0335,71.0492,85.0648,113.0154,240.2796,,,
CP3104,n-Octadecane,C18H38,254.2974,593-45-3,57.0336,71.0493,85.1013,128.0624,99.0805,,,
CP3105,n-Nonadecane,C19H40,268.313,629-92-5,268.312,214.2857,212.1816,272.0948,,,,
CP3106,n-Eicosane,C20H42,282.3287,112-95-8,282.3307,85.1012,97.1013,111.1169,,,,
CP3107,n-Docosane,C22H46,310.36,629-97-0,85.1012,97.1013,111.1169,125.1325,,,,
CP3108,n-Tetracosane,C24H50,338.3913,646-31-1,85.1012,97.1013,111.1169,125.1325,,,,
CP3109,n-Hexacosane,C26H54,366.4226,630-01-3,85.1012,97.1013,111.1169,125.1325,,,,
CP3110,n-Octacosane,C28H58,394.4538,630-02-4,85.1012,97.1013,111.1169,125.1325,,,,
CP3111,n-Triacontane,C30H62,422.4852,638-68-6,85.1012,97.1013,111.1169,125.1325,,,,
CP3112,n-Dotriacontane,C32H66,450.5165,544-85-4,85.1012,97.1013,111.1169,125.1325,,,,
CP3114,Diphenamid,C16H17NO,239.131,957-51-7,72.059,167.1432,165.1639,152.1562,,,,
CP3115,EPTC,CH3CH2SC(O)N(CH2CH2CH3)2,189.1187,759-94-4,128.107,86.0601,100.0757,89.0596,129.0912,,,
CP3116,Ethoprop,C8H19O2PS2,242.0564,13194-48-4,158.0724,139.0541,126.0464,127.0542,,,,
CP3117,Mevinphos ,C7H13O6P,224.045,7786-34-7,127.0309,192.1143,193.1179,164.0236,,,,
CP3118,Prometryne,C10H19N5S,241.1361,7287-19-6,184.0329,199.0931,185.0808,198.1404,226.1669,197.0598,,
CP3119,Propazine,C9H16ClN5,229.1094,139-40-2,229.107,215.0915,230.1105,216.0941,217.0884,,,
CP3120,Terbutryn,C10H19N5S,241.1361,886-50-0,184.0329,199.0931,185.0808,198.1404,226.1669,197.0598,,
CP3121,Triadimefon,C14H16ClN3O2,293.0931,43121-43-3,208.0323,85.0649,110.0682,210.1404,,,,
CP3122,Alachlor,C14H20ClNO2,269.1183,15972-60-8,223.1116,146.0682,188.0832,237.1276,269.1168,,,
CP3123,Atraton,C9H17N5O,211.1433,1610-17-9,196.12,210.1404,58.0369,211.1432,,,,
CP3124,Bromacil,C9H13BrN2O2,260.016,314-40-9,205.0178,207.068,206.0596,204.1872,,,,
CP3126,Chlorpropham,C10H12ClNO2,213.0557,101-21-3,213.055,127.0183,171.0081,129.0153,,,,
CP3127,Hexazinone,C12H20N4O2,252.1586,51235-04-2,171.0805,172.0883,128.0621,98.1089,83.0766,,,
CP3128,Molinate,C9H17NOS,187.1031,2212-67-1,187.1023,126.0916,98.0966,127.0949,,,,
CP3129,Pronamide,C12H11Cl2NO,255.0218,23950-58-5,255.0224,254.0134,256.0105,257.018,,,,
CP3130,Stirophos,C10H9Cl4O4P,363.8993,22248-79-9,328.877,108.9591,329.9617,78.9105,203.9397,,,
CP3131,Tricyclazole,C9H7N3S,189.0361,41814-78-2,162.0465,163.0543,165.0699,160.9967,189.0346,,,
CP3132,Dichlorvos,CCl2=CHOPO(OCH3)2,219.9459,62-73-7,109.0286,79.0179,145.0651,185.0807,108.0571,,,
CP3133,Fenarimol,C17H12Cl2N2O,330.0327,60168-88-9,139.0546,107.0493,75.0231,152.0623,,,,
CP3134,Fluridone,C19H14F3NO,329.1027,59756-60-4,331.1096,317.202,305.0938,316.1991,,,,
CP3136,Tillam,C10H21NOS,203.1344,1114-71-2,203.1429,128.0386,132.0572,161.0596,57.0574,,,
CP3137,Simetryn,C8H15N5S,213.1048,1014-70-6,155.0854,211.0708,210.0674,209.0596,215.0853,,,
CP3138,Tebuthiuron,C9H16N4OS,228.1045,34014-18-1,156.0937,157.1013,171.1169,129.07,,,,
CP3139,Terbacil,C9H13ClN2O2,216.0666,5902-51-2,161.0573,163.0543,162.0464,164.0578,,,,
CP3140,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",C6H8O3,128.0473,3658-77-3,57.0336,85.0649,87.076,72.0526,128.0469,,,
CP3141,(-)-Menthol,C10H20O,156.1514,2216-51-5,71.0856,81.07,95.0857,123.117,138.1408,156.1525,,
CP3142,Maltol,C6H6O3,126.0317,118-71-8,126.0313,71.0447,97.0284,55.0299,111.0441,,,
CP3143,(+-)-Nicotine,C10H14N2,162.1157,22083-74-5,162.1152,161.1073,133.0759,85.1015,163.1116,,,
CP3144,Ethyl vanillin,C9H10O3,166.063,121-32-4,166.0623,137.0386,168.0569,138.0676,149.0959,,,
CP3145,Ethyl maltol,C7H8O3,140.0473,225-582-5,140.0469,139.0389,138.0424,71.0812,141.0546,,,
CP3149,Acrinathrin ,C26H21F6NO5,541.1324,101007-06-1,541.1328,181.0648,93.07,94.0733,92.0577,,,
CP3150,Anthraquinone ,C6H4(CO)2C6H4,208.0524,84-65-1,208.0515,152.058,180.0568,209.0548,,,,
CP3151,Bifenthrin ,C23H22ClF3O2,422.126,82657-04-3,181.1011,179.0855,182.1045,180.0932,422.1262,,,
CP3152,Bioallethrin ,C19H26O3,302.1882,584-79-2,81.0337,105.0449,79.0179,168.0572,121.0398,,,
CP3153_2,Cyfluthrin ,C22H18Cl2FNO3,433.0648,68359-37-5,433.0638,206.06,199.0553,226.0664,163.0076,,,
CP3153_3,Cyfluthrin ,C22H18Cl2FNO3,433.0648,68359-37-5,433.0638,206.06,199.0553,226.0664,163.0076,,,
CP3153_4,Cyfluthrin ,C22H18Cl2FNO3,433.0648,68359-37-5,433.0638,206.06,199.0553,226.0664,163.0076,,,
CP3159,trans-Cypermethrin,C22H19Cl2NO3,415.0742,52315-07-8,163.0075,165.0047,181.0648,180.0806,127.031,,,
CP3160,trans-Cypermethrin,C22H19Cl2NO3,415.0742,52315-07-8,163.0075,165.0047,181.0648,180.0806,,,,
